category,subject,body,label
Password Reset,Reminder: Security Reset,"As part of a routine security review regarding security reset, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
Microsoft 365,Urgent: License Renewal,We detected license renewal. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Amazon,Attention: Security Review,We require confirmation following security review. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
Invoice/Payment,Notice: Finance Review,We detected finance review. Please verify your account within 24 hours to avoid service interruption. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
PayPal,Final Reminder: Security Check,Our monitoring systems identified security check. Confirm your identity to protect your account. This message relates to your paypal services. Please follow the provided verification steps.,1
Amazon,Security Alert: Delivery Delay,We require confirmation following delivery delay. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
Microsoft 365,Reminder: License Renewal,We require confirmation following license renewal. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Password Reset,Final Reminder: Verification Code,Our monitoring systems identified verification code. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
PayPal,Reminder: Account Limitation,"As part of a routine security review regarding account limitation, please complete the requested verification. This message relates to your paypal services. Please follow the provided verification steps.",1
Parcel Delivery,Notice: Reschedule Delivery,Our monitoring systems identified reschedule delivery. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Password Reset,Immediate: Password Expiry,We require confirmation following password expiry. Delayed action may result in temporary account restrictions. This message relates to your password reset services. Please follow the provided verification steps.,1
Banking,Security Alert: Account Locked,Your account has been flagged due to account locked. Review your information promptly. This message relates to your banking services. Please follow the provided verification steps.,1
HMRC/Tax,Action Required: Compliance Review,We require confirmation following compliance review. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
PayPal,Security Alert: Security Check,"As part of a routine security review regarding security check, please complete the requested verification. This message relates to your paypal services. Please follow the provided verification steps.",1
University,Critical: Exam Notice,Our monitoring systems identified exam notice. Confirm your identity to protect your account. This message relates to your university services. Please follow the provided verification steps.,1
Amazon,Critical: Purchase Alert,Our monitoring systems identified purchase alert. Confirm your identity to protect your account. This message relates to your amazon services. Please follow the provided verification steps.,1
University,Final Reminder: Password Reset,Our monitoring systems identified password reset. Confirm your identity to protect your account. This message relates to your university services. Please follow the provided verification steps.,1
Parcel Delivery,Immediate: Courier Notice,"As part of a routine security review regarding courier notice, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Amazon,Security Alert: Delivery Delay,Our monitoring systems identified delivery delay. Confirm your identity to protect your account. This message relates to your amazon services. Please follow the provided verification steps.,1
Technical Support,Immediate: Device Health,Our monitoring systems identified device health. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
PayPal,Attention: Billing Verification,We detected billing verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
HMRC/Tax,Urgent: Tax Calculation,Your account has been flagged due to tax calculation. Review your information promptly. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Technical Support,Action Required: Security Scan,Your account has been flagged due to security scan. Review your information promptly. This message relates to your technical support services. Please follow the provided verification steps.,1
University,Urgent: Account Suspension,Your account has been flagged due to account suspension. Review your information promptly. This message relates to your university services. Please follow the provided verification steps.,1
Invoice/Payment,Critical: Invoice Correction,We detected invoice correction. Please verify your account within 24 hours to avoid service interruption. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Invoice/Payment,Security Alert: Wire Transfer,We detected wire transfer. Please verify your account within 24 hours to avoid service interruption. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Important: Customs Fee,"As part of a routine security review regarding customs fee, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Invoice/Payment,Action Required: Supplier Update,Our monitoring systems identified supplier update. Confirm your identity to protect your account. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Invoice/Payment,Critical: Payment Confirmation,We require confirmation following payment confirmation. Delayed action may result in temporary account restrictions. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
University,Action Required: Tuition Notice,We require confirmation following tuition notice. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Password Reset,Attention: Verification Code,Our monitoring systems identified verification code. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
Amazon,Important: Prime Renewal,Your account has been flagged due to prime renewal. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
Amazon,Final Reminder: Gift Card,We detected gift card. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
HMRC/Tax,Reminder: Compliance Review,"As part of a routine security review regarding compliance review, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
HMRC/Tax,Critical: Payment Reminder,We detected payment reminder. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Microsoft 365,Important: Mfa Verification,"As part of a routine security review regarding MFA verification, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
HMRC/Tax,Urgent: Rebate Notice,Your account has been flagged due to rebate notice. Review your information promptly. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Technical Support,Attention: Helpdesk Ticket,Your account has been flagged due to helpdesk ticket. Review your information promptly. This message relates to your technical support services. Please follow the provided verification steps.,1
PayPal,Important: Security Check,"As part of a routine security review regarding security check, please complete the requested verification. This message relates to your paypal services. Please follow the provided verification steps.",1
Parcel Delivery,Final Reminder: Parcel Release,We require confirmation following parcel release. Delayed action may result in temporary account restrictions. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Password Reset,Notice: Password Policy,Our monitoring systems identified password policy. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
Password Reset,Notice: Reset Required,We detected reset required. Please verify your account within 24 hours to avoid service interruption. This message relates to your password reset services. Please follow the provided verification steps.,1
HMRC/Tax,Final Reminder: Secure Message,We detected secure message. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Password Reset,Security Alert: Verification Code,Our monitoring systems identified verification code. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
Invoice/Payment,Important: Supplier Update,We require confirmation following supplier update. Delayed action may result in temporary account restrictions. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Banking,Important: Account Locked,"As part of a routine security review regarding account locked, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
Invoice/Payment,Urgent: Overdue Invoice,"As part of a routine security review regarding overdue invoice, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
Password Reset,Security Alert: Account Recovery,"As part of a routine security review regarding account recovery, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
Invoice/Payment,Reminder: Supplier Update,Your account has been flagged due to supplier update. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Critical: Tracking Update,Our monitoring systems identified tracking update. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Amazon,Security Alert: Security Review,Your account has been flagged due to security review. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
Microsoft 365,Immediate: Storage Limit,We detected storage limit. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Invoice/Payment,Security Alert: Payment Confirmation,Your account has been flagged due to payment confirmation. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Banking,Attention: Fraud Alert,Your account has been flagged due to fraud alert. Review your information promptly. This message relates to your banking services. Please follow the provided verification steps.,1
HMRC/Tax,Immediate: Rebate Notice,We require confirmation following rebate notice. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
